Marital_Pop,Income,Age_Pop,County,State,Education_Pop
44.1,64495,13.2,Jefferson, Kentucky,74.4
47.1,85434,15.0,Hennepin, Minnesota,84.5
48.6,57972,13.7,Sedgwick, Kansas,68.0
45.7,80766,11.4,Allegheny, Pennsylvania,82.0
54.8,104728,16.0,Chester, Pennsylvania,84.0
47.8,90571,12.8,St., Missouri,79.5
44.7,60722,12.2,Jackson, Missouri,68.7
56.6,102327,18.7,Collin, Texas,84.69999999999999
51.5,76660,15.9,Williamson, Texas,78.10000000000001
46.7,89141,14.6,Harris, Texas,75.6
44.4,80813,13.8,Dallas, Texas,75.8
57.6,106239,15.1,Montgomery, Texas,73.9
51.7,75104,16.0,Will, Illinois,71.30000000000001
44.6,82731,12.3,Oklahoma, Oklahoma,68.1
48.8,86180,15.7,Tarrant, Texas,75.0
49.9,126476,15.8,Fairfield, Connecticut,84.0
42.1,71318,15.1,Duval, Florida,66.80000000000001
46.8,59288,13.4,Brevard, Florida,66.2
43.0,66946,14.6,Pinellas, Florida,65.1
43.0,55029,13.0,Polk, Florida,55.6
43.0,80936,16.0,Orange, Florida,69.5
41.3,72965,14.9,Multnomah, Oregon,84.5
53.4,102785,15.0,Montgomery, Pennsylvania,84.2
53.5,67306,14.2,Lancaster, Pennsylvania,65.10000000000001
51.5,82723,14.0,Salt, Utah,78.3
44.3,65833,15.0,Jefferson, Alabama,75.60000000000001
42.5,79108,16.2,Broward, Florida,68.7
43.5,71794,15.9,Hillsborough, Florida,69.10000000000001
47.5,84287,13.4,Sonoma, California,82.6
49.0,106423,13.5,Alameda, California,84.6
42.6,92385,12.8,Los, California,80.5
52.0,122982,12.5,Santa, California,86.30000000000001
52.3,90695,15.1,Jefferson, Colorado,81.3
49.7,63958,14.6,Adams, Colorado,68.6
52.8,76095,12.9,El, Colorado,78.2
49.5,85606,15.4,Arapahoe, Colorado,79.7
44.4,81970,15.5,New, Delaware,67.6
38.7,75082,11.8,Providence, Rhode Island,71.10000000000001
49.8,66334,15.0,Greenville, South Carolina,79.1
46.1,85274,13.2,Palm, Florida,74.19999999999999
43.3,77665,16.0,Miami-Dade, Florida,71.8
