CustId,Education,MaritalStat,AnnualInc,NumKids,NumTeen,DateEnrol,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Age,Age Group,Income Bracket
0,Graduation,Married,70951.0,0,0,2013-04-05,66,239,10,554,254,87,1,3,4,9,1,0,0,0,0,0,0,36,30-40,70K-80K
1,Graduation,Single,57091.0,0,0,2014-06-15,0,464,5,64,7,0,1,7,3,7,5,0,0,0,0,1,0,60,50-60,50K-60K
9,Master,Single,46098.0,1,1,2012-08-18,86,57,0,27,0,0,4,3,2,2,8,0,0,0,0,0,0,46,40-50,40K-50K
13,PhD,Widow,25358.0,0,1,2013-07-22,57,19,0,5,0,0,2,1,0,3,6,0,0,0,0,0,0,74,70-80,20K-30K
17,PhD,Married,60491.0,0,1,2013-06-09,81,637,47,237,12,19,4,6,11,7,5,0,0,0,0,0,0,50,40-50,60K-70K
20,Undergraduate,Married,46891.0,0,1,2013-01-09,91,43,12,23,29,15,1,2,1,4,4,0,0,0,0,0,0,56,50-60,40K-50K
22,Graduation,Divorced,46310.0,1,0,2012-03-12,99,185,2,88,15,5,2,6,1,5,8,0,0,0,0,0,0,45,40-50,40K-50K
24,Master,Together,17144.0,1,1,2014-02-15,96,18,2,19,0,2,5,3,0,4,7,0,0,0,0,0,0,61,60-70,Below 20K
25,Graduation,Married,65148.0,0,1,2012-11-16,9,460,35,422,33,12,2,6,6,7,4,0,0,0,0,0,0,63,60-70,60K-70K
35,Graduation,Married,25545.0,1,0,2012-08-09,35,32,1,64,16,12,3,2,2,3,6,0,0,0,0,0,0,34,30-40,20K-30K
48,Graduation,Together,55761.0,0,1,2014-04-24,97,136,1,12,0,3,2,4,1,3,6,0,1,0,0,0,0,57,50-60,50K-60K
49,Graduation,Single,20587.0,1,0,2014-11-05,39,2,3,6,4,1,1,1,1,2,7,0,0,0,0,0,0,51,50-60,20K-30K
55,Graduation,Together,56253.0,0,1,2012-07-12,83,509,0,65,7,11,4,7,2,9,6,0,0,0,0,0,0,58,50-60,50K-60K
67,Master,Single,46423.0,1,1,2013-09-18,6,68,0,16,0,0,3,2,0,4,7,0,0,0,0,0,0,49,40-50,40K-50K
73,PhD,Single,51411.0,1,2,2013-05-26,81,14,0,3,0,0,1,0,0,3,5,0,0,0,0,0,0,68,60-70,50K-60K
75,Undergraduate,Together,41039.0,0,0,2013-07-25,32,34,11,137,179,61,1,8,1,5,8,0,0,0,0,0,0,39,30-40,40K-50K
78,Graduation,Married,25293.0,1,0,2013-09-15,51,15,0,11,0,2,1,1,1,2,8,0,0,0,0,0,0,52,50-60,20K-30K
87,Undergraduate,Married,27733.0,1,0,2013-08-26,16,0,7,5,26,2,2,2,0,3,7,0,0,0,0,0,0,40,30-40,20K-30K
